mesh_code_3rd	osm_road_length	diff_length	diff_percentage	wkt
54390035	2707.25759111251	-292	-12.10	MULTIPOLYGON(((139.0625 36.0250000024009,139.0625 36.0333333357345,139.075 36.0333333357345,139.075 36.0250000024009,139.0625 36.0250000024009)))
54390036	6443.78049604877	-1613	-33.41	MULTIPOLYGON(((139.075 36.0250000024009,139.075 36.0333333357345,139.0875 36.0333333357345,139.0875 36.0250000024009,139.075 36.0250000024009)))
54390037	10397.7896144707	-6607	-174.34	MULTIPOLYGON(((139.0875 36.0250000024009,139.0875 36.0333333357345,139.1 36.0333333357345,139.1 36.0250000024009,139.0875 36.0250000024009)))
54390038	10469.7262607019	-5188	-98.25	MULTIPOLYGON(((139.1 36.0250000024009,139.1 36.0333333357345,139.1125 36.0333333357345,139.1125 36.0250000024009,139.1 36.0250000024009)))
54390039	6211.35122310649	-722	-13.15	MULTIPOLYGON(((139.1125 36.0250000024009,139.1125 36.0333333357345,139.125 36.0333333357345,139.125 36.0250000024009,139.1125 36.0250000024009)))
54390040	4132.13078874441	154	3.61	MULTIPOLYGON(((139 36.0333333357345,139 36.0416666690681,139.0125 36.0416666690681,139.0125 36.0333333357345,139 36.0333333357345)))
54390041	6101.43200632321	-265	-4.54	MULTIPOLYGON(((139.0125 36.0333333357345,139.0125 36.0416666690681,139.025 36.0416666690681,139.025 36.0333333357345,139.0125 36.0333333357345)))
54390042	8140.71580778137	-1348	-19.85	MULTIPOLYGON(((139.025 36.0333333357345,139.025 36.0416666690681,139.0375 36.0416666690681,139.0375 36.0333333357345,139.025 36.0333333357345)))
54390043	4582.00676526009	-1638	-55.63	MULTIPOLYGON(((139.0375 36.0333333357345,139.0375 36.0416666690681,139.05 36.0416666690681,139.05 36.0333333357345,139.0375 36.0333333357345)))
54390044	2774.16080609616	-1651	-147.03	MULTIPOLYGON(((139.05 36.0333333357345,139.05 36.0416666690681,139.0625 36.0416666690681,139.0625 36.0333333357345,139.05 36.0333333357345)))
54390045	5132.48234863987	-2773	-117.57	MULTIPOLYGON(((139.0625 36.0333333357345,139.0625 36.0416666690681,139.075 36.0416666690681,139.075 36.0333333357345,139.0625 36.0333333357345)))
54390046	7002.08090996072	-2470	-54.50	MULTIPOLYGON(((139.075 36.0333333357345,139.075 36.0416666690681,139.0875 36.0416666690681,139.0875 36.0333333357345,139.075 36.0333333357345)))
54390047	7932.05385059045	-4294	-118.03	MULTIPOLYGON(((139.0875 36.0333333357345,139.0875 36.0416666690681,139.1 36.0416666690681,139.1 36.0333333357345,139.0875 36.0333333357345)))
54390048	10331.4091042319	-5037	-95.15	MULTIPOLYGON(((139.1 36.0333333357345,139.1 36.0416666690681,139.1125 36.0416666690681,139.1125 36.0333333357345,139.1 36.0333333357345)))
54390049	3711.45853800137	-29	-0.80	MULTIPOLYGON(((139.1125 36.0333333357345,139.1125 36.0416666690681,139.125 36.0416666690681,139.125 36.0333333357345,139.1125 36.0333333357345)))
54390050	3527.27916270981	120	3.30	MULTIPOLYGON(((139 36.0416666690681,139 36.0500000024017,139.0125 36.0500000024017,139.0125 36.0416666690681,139 36.0416666690681)))
54390051	5434.99259094689	-1131	-26.30	MULTIPOLYGON(((139.0125 36.0416666690681,139.0125 36.0500000024017,139.025 36.0500000024017,139.025 36.0416666690681,139.0125 36.0416666690681)))
54390052	7684.25991154858	-1377	-21.83	MULTIPOLYGON(((139.025 36.0416666690681,139.025 36.0500000024017,139.0375 36.0500000024017,139.0375 36.0416666690681,139.025 36.0416666690681)))
54390053	6532.93557324821	-1692	-34.97	MULTIPOLYGON(((139.0375 36.0416666690681,139.0375 36.0500000024017,139.05 36.0500000024017,139.05 36.0416666690681,139.0375 36.0416666690681)))
54390054	7500.73897721892	-1937	-34.83	MULTIPOLYGON(((139.05 36.0416666690681,139.05 36.0500000024017,139.0625 36.0500000024017,139.0625 36.0416666690681,139.05 36.0416666690681)))
54390055	3596.85970609872	-1049	-41.21	MULTIPOLYGON(((139.0625 36.0416666690681,139.0625 36.0500000024017,139.075 36.0500000024017,139.075 36.0416666690681,139.0625 36.0416666690681)))
54390056	5146.5926083587	-4110	-396.77	MULTIPOLYGON(((139.075 36.0416666690681,139.075 36.0500000024017,139.0875 36.0500000024017,139.0875 36.0416666690681,139.075 36.0416666690681)))
54390057	7183.14887716524	-2094	-41.15	MULTIPOLYGON(((139.0875 36.0416666690681,139.0875 36.0500000024017,139.1 36.0500000024017,139.1 36.0416666690681,139.0875 36.0416666690681)))
54390058	7316.0807057111	-2719	-59.14	MULTIPOLYGON(((139.1 36.0416666690681,139.1 36.0500000024017,139.1125 36.0500000024017,139.1125 36.0416666690681,139.1 36.0416666690681)))
54390059	4216.02247893795	-2220	-111.22	MULTIPOLYGON(((139.1125 36.0416666690681,139.1125 36.0500000024017,139.125 36.0500000024017,139.125 36.0416666690681,139.1125 36.0416666690681)))
54390060	1517.51274239873	-193	-14.61	MULTIPOLYGON(((139 36.0500000024017,139 36.0583333357354,139.0125 36.0583333357354,139.0125 36.0500000024017,139 36.0500000024017)))
54390062	1178.29883368709	-6	-0.53	MULTIPOLYGON(((139.025 36.0500000024017,139.025 36.0583333357354,139.0375 36.0583333357354,139.0375 36.0500000024017,139.025 36.0500000024017)))
54390063	5488.79098906414	-1883	-52.25	MULTIPOLYGON(((139.0375 36.0500000024017,139.0375 36.0583333357354,139.05 36.0583333357354,139.05 36.0500000024017,139.0375 36.0500000024017)))
54390064	7716.17504514694	-2578	-50.17	MULTIPOLYGON(((139.05 36.0500000024017,139.05 36.0583333357354,139.0625 36.0583333357354,139.0625 36.0500000024017,139.05 36.0500000024017)))
54390065	7014.64597127455	-1280	-22.33	MULTIPOLYGON(((139.0625 36.0500000024017,139.0625 36.0583333357354,139.075 36.0583333357354,139.075 36.0500000024017,139.0625 36.0500000024017)))
54390066	5423.25374234586	-3797	-233.53	MULTIPOLYGON(((139.075 36.0500000024017,139.075 36.0583333357354,139.0875 36.0583333357354,139.0875 36.0500000024017,139.075 36.0500000024017)))
54390067	7483.37688559063	-3896	-108.62	MULTIPOLYGON(((139.0875 36.0500000024017,139.0875 36.0583333357354,139.1 36.0583333357354,139.1 36.0500000024017,139.0875 36.0500000024017)))
54390068	1996.50255204575	-1082	-118.43	MULTIPOLYGON(((139.1 36.0500000024017,139.1 36.0583333357354,139.1125 36.0583333357354,139.1125 36.0500000024017,139.1 36.0500000024017)))
54390069	5618.5409313391	-2256	-67.11	MULTIPOLYGON(((139.1125 36.0500000024017,139.1125 36.0583333357354,139.125 36.0583333357354,139.125 36.0500000024017,139.1125 36.0500000024017)))
54390070	1013.54609376153	-222	-28.13	MULTIPOLYGON(((139 36.0583333357353,139 36.066666669069,139.0125 36.066666669069,139.0125 36.0583333357353,139 36.0583333357353)))
54390071	167.788479796906	-0	-0.47	MULTIPOLYGON(((139.0125 36.0583333357353,139.0125 36.066666669069,139.025 36.066666669069,139.025 36.0583333357353,139.0125 36.0583333357353)))
54390072	2841.44823114649	60	2.08	MULTIPOLYGON(((139.025 36.0583333357353,139.025 36.066666669069,139.0375 36.066666669069,139.0375 36.0583333357353,139.025 36.0583333357353)))
54390073	3559.70998648748	-614	-20.87	MULTIPOLYGON(((139.0375 36.0583333357353,139.0375 36.066666669069,139.05 36.066666669069,139.05 36.0583333357353,139.0375 36.0583333357353)))
54390074	3598.88278338956	-292	-8.85	MULTIPOLYGON(((139.05 36.0583333357353,139.05 36.066666669069,139.0625 36.066666669069,139.0625 36.0583333357353,139.05 36.0583333357353)))
54390075	8331.74872711499	-3127	-60.10	MULTIPOLYGON(((139.0625 36.0583333357353,139.0625 36.066666669069,139.075 36.066666669069,139.075 36.0583333357353,139.0625 36.0583333357353)))
54390076	7677.34292758382	-3264	-73.97	MULTIPOLYGON(((139.075 36.0583333357353,139.075 36.066666669069,139.0875 36.066666669069,139.0875 36.0583333357353,139.075 36.0583333357353)))
54390077	14014.1832575691	-3457	-32.74	MULTIPOLYGON(((139.0875 36.0583333357353,139.0875 36.066666669069,139.1 36.066666669069,139.1 36.0583333357353,139.0875 36.0583333357353)))
